filename,title,authors,journal,publication_year,doi,pmcid,source_url
main.pdf,Additive effect of combined pollutants to UV induced skin OxInflammation damage. Evaluating the protective topical application of a cosmeceutical mixture formulation,"['Francesca Ferrara', 'Brittany Woodby', 'Alessandra Pecorelli', 'Maria Lucia Schiavone', 'Erika Pambianchi', ""Nicolo' Messano"", 'Jean-Philippe Therrien', 'Hina Choudhary', 'Giuseppe Valacchi']",Redox Biology,2020,10.1016/j.redox.2020.101481,,https://doi.org/10.1016/j.redox.2020.101481
molecules-26-04429.pdf,Advantages of Hyaluronic Acid and Its Combination with Other Bioactive Ingredients in Cosmeceuticals,"['Anca Maria Juncan', 'Dana Georgiana Moisă', 'Antonello Santini', 'Claudiu Morgovan', 'Luca-Liviu Rus', 'Andreea Loredana Vonica-Țincu', 'Felicia Loghin']",Molecules,2021,10.3390/molecules26154429,,https://doi.org/10.3390/molecules26154429
nihms-1047636.pdf,Suboptimal UVA attenuation by broad spectrum sunscreens,"['under outdoor solar conditions contributes to lifetime UVA', 'burden', 'Sergio G. Coelho, Ph.D.1, Diego Rua, Ph.D.1, Sharon A. Miller, Ph.D.2, Anant Agrawal,', 'Ph.D.3', '1Division of Nonprescription Drug Products, Office of Drug Evaluation IV, Office of New Drugs,', 'Center for Drug Evaluation and Research, Food and Drug Administration, Silver Spring, MD', '20993', '2Division of Radiological Health, Office of In Vitro Diagnostics and Radiological Health, Center for', 'Devices and Radiological Health, Food and Drug Administration, Silver Spring, MD 20993', '3Division of Biomedical Physics, Office of Science and Engineering Laboratories, Center for', 'Devices and Radiological Health, Food and Drug Administration, Silver Spring, Maryland 20993']",,2017,10.1111/phpp.12503.,,https://www.fda.gov/news-events/press-announcements/fda-
nihms-1062946.pdf,Comparison of Transepidermal Water Loss Rates in Subjects,"['with Skin Patch Test Positive versus Negative to Skin Care', 'Products', 'Dan Liua,*, Si Wena,*, Li-ning Huanga, Xiaohua Wanga, Can-yi Gonga, Zhiping lia, Hui', 'Wanga, Peter M. Eliasb, Bin Yanga, Mao-Qiang Mana', 'aDermatology Hospital, Southern Medical University, Guangdong 510000, P .R. China;', 'bDermatology Services, Veterans Affairs Medical Center and University of California San', 'Francisco, CA 94121, USA']",,2021,10.1111/jocd.13264.,,
nihms-1578344.pdf,Pilot study measuring transepidermal water loss (TEWL) in,"['children suggests trilipid cream is more effective than a paraffin-', 'based emollient', 'Sayantani Sindher1,2, Shifaa S. Alkotob1,2, Melanie N. Shojinaga1,2, Helen A. Brough3,4,5,', 'Henry T. Bahnson6, Susan Chan3,4,5, Gideon Lack3,4,5, Donald Y. M. Leung7,8, Kari C.', 'Nadeau1,2', '1Sean N. Parker Center for Allergy and Asthma Research at Stanford University School of', 'Medicine, Stanford, CA, USA', '2Division of Pulmonary and Critical Care Medicine, Department of Medicine, Stanford University,', 'Stanford, CA, USA', '3Paediatric Allergy Group, Department of Women and Children’s Health, School of Life Course', 'Sciences, King’s College London, St. Thomas’ Hospital, London, UK', '4Paediatric Allergy Group, Peter Gorer Department of Immunobiology, School of Immunology &', 'Microbial Sciences, King’s College London, Guys’ Hospital, London, UK', '5Children’s Allergy Service, Evelina Children’s Hospital, Guy’s and St. Thomas’ Hospital NHS', 'Foundation Trust, London, UK', '6Immune Tolerance Network, Benaroya Research Institute, Seattle, WA, USA', '7Department of Pediatrics, National Jewish Health, Denver, CO, USA', 'Correspondence: Kari C. Nadeau, Director, Sean N. Parker Center for Allergy and Asthma Research at Stanford University, 269', 'Campus Drive, CCSR 3215, MC 5366, Stanford, CA 94305-5101, USA. knadeau@stanford.edu.', 'CONFLICT OF INTEREST', 'Dr Sayantani Sindher reports grants from Aimmune, DBV Technologies, and Regeneron; Dr Helen A Brough reports grants from', 'Food Allergy Research & Education (FARE), being on the UK advisory Board for DBV Technologies, and research support from', 'Thermo Fisher Scientific; Dr Bahnson reports personal fees from King’s College, London, UK, and DBV technologies; Dr Susan', 'Chan reports nonfinancial support from Aimmune and grant support from Novartis; Dr Gideon Lack holds shares in DBV', 'Technologies and from Mighty Mission Me, has consulted for Novartis, Sanofi-Genyzme, Regeneron, ALK-Abello, and has received', 'funding from National Institute of Allergy and Infectious Diseases (NIAID, NIH), MRC & Asthma UK Centre, UK Dept of Health', 'through NIHR, National Peanut Board, Action Medical Research, The Davis Foundation, and ICAP Charity; Dr Donald Leung is', 'supported by NIH grants 5AR41256, 1U19AI117673, UL1TR002535 and UM1AI130780, is a recipient of the Edelstein Family Chair', 'of Pediatric Allergy-Immunology at National Jewish Health, has received grant support from Pfizer, Incyte and MedImmune/A-Z,', 'consulted for Sanofi-Genyzme, Regeneron, AImmune Therapeutics and Janssen Pharmaceuticals; Dr Kari Nadeau reports grants from', 'National Institute of Allergy and Infectious Diseases (NIAID), Food Allergy Research & Education (FARE), End Allergies Together', '(EAT), Allergenis, and Ukko Pharma, is a grant awardee at NIAID, National Institute of Environmental Health Sciences (NIEHS),', 'National Heart, Lung, and Blood Institute (NHLBI), and the Environmental Protection Agency (EPA), is involved in clinical trials with', 'Regeneron, Genentech, AImmune Therapeutics, DBV Technologies, AnaptysBio, Adare Pharmaceuticals, and Stallergenes-Greer, has', 'research sponsorship by Novartis, Sanofi, Astellas, Nestle, is a Data and Safety Monitoring Board member at Novartis and NHLBI,', 'cofounded Before Brands, Alladapt, ForTra, and Iggenix; Chief Intellectual Office at FARE, Director of the World Allergy', 'Organization (W AO) Center of Excellence at Stanford, Personal fees from Regeneron, Astrazeneca, ImmuneWorks, and Cour', 'Pharmaceuticals, is a Consultant and Advisory Board Member at Ukko, Before Brands, Alladapt, IgGenix, Probio, Vedanta, Centecor,', 'Seed, Novartis, NHBLI, EPA, National Scientific Committee of ITN and NIH Programs, and has filed US patents 62/647,389;', '62/119,014; 12/610,940, 12/686,121, 10/064,936, 62/767,444 and S10–392; Dr Shifaa S Alkotob and Ms Melanie N Shojinaga report', 'no COI.', 'HHS Public Access', 'Author manuscript', 'Allergy. Author manuscript; available in PMC 2021 October 01.', 'Published in final edited form as:']",,2021,10.1111/all.14275.,,
nihms352844.pdf,Urea uptake enhances barrier function and antimicrobial,"['defense in humans by regulating epidermal gene expression', 'Susanne Grether-Beck1, Ingo Felsner1, Heidi Brenden1, Zippora Kohne1, Marc Majora1,', 'Alessandra Marini1, Thomas Jaenicke1, Marina Rodriguez-Martin2, Carles Trullas3, Melanie', 'Hupe4, Peter M. Elias4, and Jean Krutmann1', '1IUF – Leibniz Research Institute for Environmental Medicine, Duesseldorf, Germany, Auf’m', 'Hennekamp 50, D-40225 Duesseldorf, Germany', '2Hospital Universitario de Canarias, Tenerife, Spain', '3ISDIN, Barcelona, Spain', '4VA Medical Center, San Francisco, CA, USA']",,2012,10.1038/jid.2012.42.,,http://www.nature.com/authors/editorial_policies/license.html#terms
nihms864281.pdf,Lowering relative humidity level increases epidermal protein,"['deimination and drives human filaggrin breakdown', 'Laura Caua, Valérie Pendariesa,e, Emeline Lhuilliera,b, Paul R Thompsonc, Guy Serrea,', 'Hidenari Takaharad, Marie-Claire Méchina,f, and Michel Simona,f,*', 'aUDEAR, Institut National de la Santé Et de la Recherche Médicale, Université de Toulouse Midi-', 'Pyrénées, Centre National de la Recherche Scientifique, Toulouse, France', 'bPlateau de Génomique GeT -Purpan, Genotoul, Toulouse, France', 'cDepartment of Biochemistry and Molecular Pharmacology, University of Massachusetts Medical', 'School, Worcester, MA, USA', 'dDepartment of Applied Biological Resource Sciences, School of Agriculture, University of Ibaraki,', 'Ibaraki, Japan']",,2017,10.1016/j.jdermsci.2017.02.280.,,
nutrients-09-00866.pdf,The Roles of Vitamin C in Skin Health,"['Juliet Pullar', 'Anitra Carr', 'Margreet Vissers']",Nutrients,2017,10.3390/nu9080866,,http://creativecommons.org/licenses/by/4.0/).
pharmaceuticals-16-00573.pdf,How to Promote Skin Repair? In-Depth Look at Pharmaceutical and Cosmetic Strategies,"['Ana Torres', 'Liliana Rego', 'Márcia S. Martins', 'Marta S. Ferreira', 'Maria T. Cruz', 'Emília Sousa', 'Isabel F. Almeida']",Pharmaceuticals,2023,10.3390/ph16040573,,https://doi.org/10.3390/
pnas.201206851.pdf,Solar UV radiation reduces the barrier function of human skin,"['Krysta Biniek', 'Kemal Levi', 'Reinhold H. Dauskardt']",Proceedings of the National Academy of Sciences,2012,10.1073/pnas.1206851109,,
rsif20120788.pdf,Controlling the hydration of the skin though the application of occluding barrier creams,"['Emma Sparr', 'Danielle Millecamps', 'Muriel Isoir', 'Véronique Burnier', 'Åsa Larsson', 'Bernard Cabane']",Journal of The Royal Society Interface,2013,10.1098/rsif.2012.0788,,http://dx.doi.org/10.1098/rsif.2012.0788
SRT-29-e13242.pdf,Quantitative evaluation of skin barrier function using water evaporation time related to transepidermal water loss,"['Shin‐ichiro Seno', 'Hideaki Shimazu', 'Hiroko Kobayashi', 'Eiki Kogure', 'Atsushi Watanabe', 'Takashi Isoyama']",Skin Research and Technology,2022,10.1111/srt.13242,,https://doi.org/10.1111/srt.13242
ten.tec.2014.0065.pdf,Lowered Humidity Produces Human Epidermal Equivalents with Enhanced Barrier Properties,"['Richard Sun', 'Anna Celli', 'Debra Crumrine', 'Melanie Hupe', 'Lillian C. Adame', 'Sally D. Pennypacker', 'Kyungho Park', 'Yoshikazu Uchida', 'Kenneth R. Feingold', 'Peter M. Elias', 'Dusko Ilic', 'Theodora M. Mauro']",Tissue Engineering Part C: Methods,2015,10.1089/ten.tec.2014.0065,,
